% f (Hz),Material Switch 2 index,Time (s),Coil current A (A),Coil current B (A),Coil current C (A),Coil voltage A (V),Coil voltage B (V),Coil voltage C (V),Axial torque (N*m),Rotor Losses (W),Stator Losses (W),Coil Losses (W)
50,1,0.0010714126368957491,1.1676961163301318,2.3061976741600554,-3.4738937904901865,551.229503320428,-221.91994388488638,-238.5265276713103,3.021674535732204,1.3633450901363389,11.524074106568118,574.8831575401064
50,1,0.001099190414673527,1.1967733017017053,2.282724289090632,-3.479497590792336,569.148886038379,-229.82927028006415,-219.24960747722793,3.024159265565713,1.3631871595478808,11.523119433719575,574.883157540106
50,1,0.0011269681924513048,1.2257593481528577,2.2590770657286674,-3.484836413881524,558.6448058889437,-230.2120811399888,-231.88845755624206,2.99289843005198,1.36248098498859,11.525443250643841,574.8831575401063
50,1,0.0011547459702290826,1.2546520482839283,2.235257804901774,-3.4899098531857016,580.6009785525479,-241.87627249511547,-229.14587496061358,2.9768915058503302,1.36219435164919,11.52720453418487,574.8831575401061
50,1,0.0011825237480068604,1.2834492018039392,2.211268320538886,-3.494717522342824,578.9716371139938,-241.7381395418181,-215.0924577534807,2.9879725690023227,1.3620682094682859,11.528530975300605,574.8831575401064
50,1,0.0012103015257846383,1.312148615698157,2.1871104395321157,-3.4992590552302714,562.5930177745093,-250.55389321860486,-226.28556815946303,2.9904422136318187,1.3614707795507202,11.530573180260705,574.8831575401061
50,1,0.001238079303562416,1.3407481043950993,2.1627860015976323,-3.5035341059927303,563.9664001071696,-258.6263082953935,-214.80447666753963,2.9579095660392873,1.3611741878660144,11.530914537249032,574.8831575401064
50,1,0.001265857081340194,1.3692454899329747,2.1382968591355596,-3.507542349068534,555.0664251457092,-263.0155928487358,-206.51386323546637,2.93820293781444,1.3608657527722405,11.52997206970125,574.8831575401063
50,1,0.0012936348591179717,1.3976386021255423,2.1136448770889125,-3.5112834792144536,581.9212686764865,-278.3691253922141,-211.959751865248,2.9413463205761774,1.3600232109373145,11.531600375490195,574.8831575401064
50,1,0.0013214126368957496,1.42592527872738,2.0888319328015656,-3.5147572115289445,614.0583164135768,-279.3374609908893,-195.56194817844997,2.9512033281218595,1.3594902678809402,11.533767672333953,574.8831575401064
